name,owner,repository,commit,source_path,local_skill_file,source_url,catalogs,description
ponytail-gain,dietrichgebert,ponytail,e3ba2aa6f1e6f0bc4d69eb09c9f0d0a93af56156,skills/ponytail-gain,sources/dietrichgebert/ponytail/skills/ponytail-gain/SKILL.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-gain,additional-repositories.md,>
ponytail-help,dietrichgebert,ponytail,e3ba2aa6f1e6f0bc4d69eb09c9f0d0a93af56156,skills/ponytail-help,sources/dietrichgebert/ponytail/skills/ponytail-help/SKILL.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-help,additional-repositories.md,>
ponytail-review,dietrichgebert,ponytail,e3ba2aa6f1e6f0bc4d69eb09c9f0d0a93af56156,skills/ponytail-review,sources/dietrichgebert/ponytail/skills/ponytail-review/SKILL.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail-review,additional-repositories.md,>
ponytail,dietrichgebert,ponytail,e3ba2aa6f1e6f0bc4d69eb09c9f0d0a93af56156,skills/ponytail,sources/dietrichgebert/ponytail/skills/ponytail/SKILL.md,https://github.com/dietrichgebert/ponytail/tree/main/skills/ponytail,additional-repositories.md,>
bibguard,GeoffreyWang1117,bibguard,77d431eb1f14099a7e0c5f4cb27417f325a04a24,.codex/skills/bibguard,sources/GeoffreyWang1117/bibguard/.codex/skills/bibguard/SKILL.md,https://github.com/GeoffreyWang1117/bibguard/tree/main/.codex/skills/bibguard,ai-behavior-fix-skills.md,"Run citation verification on a .bib file. Detects hallucinated references, phantom DOIs, author mismatches, and retracted papers. Use when user asks to check, verify, or validate references/citations in a paper."
ground-truth,glichtenthal,ground-truth,56b41b1459ec82df140e6fac7e7316f116d36461,,sources/glichtenthal/ground-truth/SKILL.md,https://github.com/glichtenthal/ground-truth,ai-behavior-fix-skills.md,"Activates ground-truth mode -- a critical thinking partner with hard anti-sycophancy rules. Use whenever someone shares a plan, idea, decision, interpretation, or work product and might be seeking reassurance instead of honest assessment. Trigger on any of: ""what do you think,"" ""does this make sense,"" ""is this a good idea,"" ""review this,"" ""am I missing something,"" ""how does this look,"" ""does this hold up,"" ""should I do X"" -- or any context where agreement would be the path of least resistance. Default mode is calibrated honesty, not pushback for its own sake. This skill is the advisor who will actually tell you the truth."
the-quorum,glichtenthal,the-quorum,eefc3d13aa4250f60c0f58b74c91906ee6e10cf8,,sources/glichtenthal/the-quorum/SKILL.md,https://github.com/glichtenthal/the-quorum,ai-behavior-fix-skills.md,"Invocation-only five-member decision council. Run only when the user asks to invoke or convene The Quorum, including ""quorum this"", ""council this"", or ""convene the quorum"". Do not run when the user merely mentions The Quorum, asks how it works, or asks to prepare material for it. Produces independent expert verdicts, anonymous peer review, a chairman synthesis, a pre-mortem, and an interactive HTML dashboard."
convergence-study,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/core-numerical/convergence-study,sources/HeshamFS/materials-simulation-skills/skills/core-numerical/convergence-study/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/core-numerical/convergence-study,materials-science-python-skills-direct.md,>
differentiation-schemes,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/core-numerical/differentiation-schemes,sources/HeshamFS/materials-simulation-skills/skills/core-numerical/differentiation-schemes/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/core-numerical/differentiation-schemes,materials-science-python-skills-direct.md,>
linear-solvers,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/core-numerical/linear-solvers,sources/HeshamFS/materials-simulation-skills/skills/core-numerical/linear-solvers/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/core-numerical/linear-solvers,materials-science-python-skills-direct.md,>
mesh-generation,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/core-numerical/mesh-generation,sources/HeshamFS/materials-simulation-skills/skills/core-numerical/mesh-generation/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/core-numerical/mesh-generation,materials-science-python-skills-direct.md,>
nonlinear-solvers,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/core-numerical/nonlinear-solvers,sources/HeshamFS/materials-simulation-skills/skills/core-numerical/nonlinear-solvers/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/core-numerical/nonlinear-solvers,materials-science-python-skills-direct.md,>
numerical-integration,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/core-numerical/numerical-integration,sources/HeshamFS/materials-simulation-skills/skills/core-numerical/numerical-integration/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/core-numerical/numerical-integration,materials-science-python-skills-direct.md,>
numerical-stability,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/core-numerical/numerical-stability,sources/HeshamFS/materials-simulation-skills/skills/core-numerical/numerical-stability/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/core-numerical/numerical-stability,materials-science-python-skills-direct.md,>
time-stepping,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/core-numerical/time-stepping,sources/HeshamFS/materials-simulation-skills/skills/core-numerical/time-stepping/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/core-numerical/time-stepping,materials-science-python-skills-direct.md,>
fair-simulation-packager,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/data-management/fair-simulation-packager,sources/HeshamFS/materials-simulation-skills/skills/data-management/fair-simulation-packager/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/data-management/fair-simulation-packager,materials-science-python-skills-direct.md,>
hpc-runtime-doctor,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/hpc-deployment/hpc-runtime-doctor,sources/HeshamFS/materials-simulation-skills/skills/hpc-deployment/hpc-runtime-doctor/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/hpc-deployment/hpc-runtime-doctor,materials-science-python-skills-direct.md,>
slurm-job-script-generator,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/hpc-deployment/slurm-job-script-generator,sources/HeshamFS/materials-simulation-skills/skills/hpc-deployment/slurm-job-script-generator/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/hpc-deployment/slurm-job-script-generator,materials-science-python-skills-direct.md,>
skill-evaluator,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/meta/skill-evaluator,sources/HeshamFS/materials-simulation-skills/skills/meta/skill-evaluator/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/meta/skill-evaluator,materials-science-python-skills-direct.md,>
simulation-failure-triage,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/robustness/simulation-failure-triage,sources/HeshamFS/materials-simulation-skills/skills/robustness/simulation-failure-triage/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/robustness/simulation-failure-triage,materials-science-python-skills-direct.md,>
md-analysis-planner,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/simulation-workflow/md-analysis-planner,sources/HeshamFS/materials-simulation-skills/skills/simulation-workflow/md-analysis-planner/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/simulation-workflow/md-analysis-planner,materials-science-python-skills-direct.md,>
parameter-optimization,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/simulation-workflow/parameter-optimization,sources/HeshamFS/materials-simulation-skills/skills/simulation-workflow/parameter-optimization/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/simulation-workflow/parameter-optimization,materials-science-python-skills-direct.md,>
performance-profiling,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/simulation-workflow/performance-profiling,sources/HeshamFS/materials-simulation-skills/skills/simulation-workflow/performance-profiling/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/simulation-workflow/performance-profiling,materials-science-python-skills-direct.md,>
post-processing,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/simulation-workflow/post-processing,sources/HeshamFS/materials-simulation-skills/skills/simulation-workflow/post-processing/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/simulation-workflow/post-processing,materials-science-python-skills-direct.md,>
simulation-orchestrator,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/simulation-workflow/simulation-orchestrator,sources/HeshamFS/materials-simulation-skills/skills/simulation-workflow/simulation-orchestrator/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/simulation-workflow/simulation-orchestrator,materials-science-python-skills-direct.md,>
simulation-validator,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/simulation-workflow/simulation-validator,sources/HeshamFS/materials-simulation-skills/skills/simulation-workflow/simulation-validator/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/simulation-workflow/simulation-validator,materials-science-python-skills-direct.md,>
workflow-engine-mapper,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/simulation-workflow/workflow-engine-mapper,sources/HeshamFS/materials-simulation-skills/skills/simulation-workflow/workflow-engine-mapper/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/simulation-workflow/workflow-engine-mapper,materials-science-python-skills-direct.md,>
benchmark-and-mms-planner,HeshamFS,materials-simulation-skills,fa1ce8de76b2ab7a856f81891525cfa227fadfe9,skills/verification-validation/benchmark-and-mms-planner,sources/HeshamFS/materials-simulation-skills/skills/verification-validation/benchmark-and-mms-planner/SKILL.md,https://github.com/HeshamFS/materials-simulation-skills/tree/main/skills/verification-validation/benchmark-and-mms-planner,materials-science-python-skills-direct.md,>
academic-paper-reviewer,Imbad0202,academic-research-skills,3c546bc08c56f79e0068f1ea4f0acedf5bf69b5e,academic-paper-reviewer,sources/Imbad0202/academic-research-skills/academic-paper-reviewer/SKILL.md,https://github.com/Imbad0202/academic-research-skills/tree/main/academic-paper-reviewer,ai-behavior-fix-skills.md,"Multi-perspective academic paper review with dynamic reviewer personas. Runs a 5-seat, role-separated review panel (Journal-Fit Reviewer + 3 peer-review roles + Devil's Advocate) with field-specific expertise; role separation is not a claim of independent error processes. Supports full review, re-review (verification), quick assessment, methodology focus, Socratic guided, and calibration modes. Triggers on: review paper, peer review, manuscript review, referee report, review my paper, critique paper, simulate review, editorial review, calibrate reviewer, reviewer calibration, measure reviewer accuracy, 審查論文, 論文審查, 模擬審查, 同儕審查, 幫我審這篇, 以審查人角度評估, 審查者校準, 논문 심사, 동료 심사, 모의 심사, 심사자 관점에서 평가, 심사자 보정, revisar artículo, revisión entre pares, revisión de manuscrito, informe de árbitro, revisa mi artículo, criticar artículo, simular revisión, revisión editorial, calibrar revisor."
academic-paper,Imbad0202,academic-research-skills,3c546bc08c56f79e0068f1ea4f0acedf5bf69b5e,academic-paper,sources/Imbad0202/academic-research-skills/academic-paper/SKILL.md,https://github.com/Imbad0202/academic-research-skills/tree/main/academic-paper,ai-behavior-fix-skills.md,"12-agent academic paper writing pipeline. 11 modes (full/plan/outline/revision/revision-coach/abstract/lit-review/format-convert/citation-check/disclosure/rebuttal-audit). 6 paper types, 5 citation formats, bilingual abstracts, LaTeX/DOCX-via-Pandoc/PDF output. Style Calibration + Writing Quality Check + Anti-Patterns with IRON RULE markers. Triggers: write paper, academic paper, guide my paper, parse reviews, I got reviewer comments, revision roadmap, should we push back, conference rebuttal, grant panel response, audit my rebuttal, check my response draft, AI disclosure, 寫論文, 學術論文, 引導我寫論文, 審查意見, 我收到審查意見, 修訂路線圖, 評估回覆, 논문 작성, 초록 작성, 논문 수정, 논문 계획을 도와줘, 심사 의견을 받았어, 심사 의견 반영, 답변서 점검, AI 사용 고지, enmendar mi artículo, redactar artículo, guía mi artículo, analizar reseñas, auditar mi respuesta, verificar borrador de respuesta, verificar citas, divulgación de IA."
academic-pipeline,Imbad0202,academic-research-skills,3c546bc08c56f79e0068f1ea4f0acedf5bf69b5e,academic-pipeline,sources/Imbad0202/academic-research-skills/academic-pipeline/SKILL.md,https://github.com/Imbad0202/academic-research-skills/tree/main/academic-pipeline,ai-behavior-fix-skills.md,"Orchestrator for the full academic research pipeline: research -> write -> integrity check -> review -> revise -> re-review -> re-revise -> final integrity check -> finalize. Coordinates deep-research, academic-paper, and academic-paper-reviewer into a seamless 10-stage workflow with mandatory, coverage-bounded integrity checks, two-stage peer review, and auditable quality-assurance artifacts. Triggers on: academic pipeline, research to paper, full paper workflow, paper pipeline, end-to-end paper, research-to-publication, complete paper workflow, 연구부터 논문까지, 연구 주제 설정부터 논문 완성까지, 논문 전체 워크플로, flujo de trabajo académico, investigación a artículo, flujo completo de artículo, pipeline de investigación completa, publicación de investigación, flujo de trabajo completo del artículo."
deep-research,Imbad0202,academic-research-skills,3c546bc08c56f79e0068f1ea4f0acedf5bf69b5e,deep-research,sources/Imbad0202/academic-research-skills/deep-research/SKILL.md,https://github.com/Imbad0202/academic-research-skills/tree/main/deep-research,ai-behavior-fix-skills.md,"Universal deep research agent team. 13-agent pipeline for rigorous academic research on any topic. 8 modes: full research, quick brief, paper review, lit-review, fact-check, three-way literature scan, Socratic guided research dialogue, and systematic review with optional meta-analysis. Covers research question formulation, Socratic mentoring, methodology design, systematic literature search, source verification, cross-source synthesis, risk of bias assessment, meta-analysis, APA 7.0 report compilation, editorial review, devil's advocate challenges, ethics review, and post-research literature monitoring. Triggers on: research, deep research, literature review, systematic review, meta-analysis, PRISMA, evidence synthesis, fact-check, WHY HOW WHAT papers, 3W literature scan, guide my research, help me think through, 研究, 深度研究, 文獻回顧, 文獻探討, 系統性回顧, 後設分析, 事實查核, 三段式文獻掃描, 引導我的研究, 幫我釐清, 幫我想想, 我不確定要研究什麼, 研究方向, 研究主題, 심층 연구, 문헌 조사, 체계적 문헌고찰, 메타분석, 사실 확인, 연구 방향을 잡아줘, 연구 주제 정하는 것을 도와줘, revisión de literatura, metaanálisis"
aegis,jcaiagent7143-ui,aegis,ee9959c7e0f09f70a1950ab157156b8e23df5bcb,,sources/jcaiagent7143-ui/aegis/SKILL.md,https://github.com/jcaiagent7143-ui/aegis,ai-behavior-fix-skills.md,|
arbor,K-Dense-AI,scientific-agent-skills,330c8e764435a731eff571e3efdda70b363d0792,skills/arbor,sources/K-Dense-AI/scientific-agent-skills/skills/arbor/SKILL.md,https://github.com/K-Dense-AI/scientific-agent-skills/tree/main/skills/arbor,ai-behavior-fix-skills.md;materials-science-python-skills-direct.md,"Autonomously improve a real artifact (code, training recipe, agent harness, data pipeline, prompt) against an objective and an evaluator, using Hypothesis Tree Refinement (HTR) from the Arbor paper. Use this whenever someone wants to iteratively optimize something over many experiments without overfitting — e.g. ""get my model's eval score up"", ""improve this agent/harness"", ""tune this pipeline"", ""beat the baseline on this benchmark"", ""run a search over approaches and keep the best"", ""do an MLE-bench / Kaggle-style optimization"", or any long-horizon ""make this artifact better and don't just memorize the dev set"" task. Trigger it even when the user doesn't say ""Arbor"" or ""hypothesis tree"" but describes repeated experiment-and-evaluate loops, branching exploration of competing ideas, or worries about a dev/test gap. Runs Claude itself as the coordinator with subagent executors in isolated git worktrees; for the standalone `arbor` CLI tool see references/arbor-upstream.md."
citation-management,K-Dense-AI,scientific-agent-skills,330c8e764435a731eff571e3efdda70b363d0792,skills/citation-management,sources/K-Dense-AI/scientific-agent-skills/skills/citation-management/SKILL.md,https://github.com/K-Dense-AI/scientific-agent-skills/tree/main/skills/citation-management,ai-behavior-fix-skills.md;materials-science-python-skills-direct.md,"Comprehensive citation management for academic research. Search OpenAlex, PubMed, and Google Scholar for papers, extract accurate metadata, validate citations, and generate properly formatted BibTeX entries. This skill should be used when you need to find papers, verify citation information, convert DOIs to BibTeX, or ensure reference accuracy in scientific writing."
